,bbox,location,avg_sentiment,count
179,"[147.970217152, -32.043753179, 147.993474272, -32.025205005]","Trangie, New South Wales",0.016025641025641028,6
180,"[147.989492896, -35.789201093, 148.024742016, -35.7587559945]","Tumbarumba, New South Wales",-0.00980392156862745,2
181,"[148.005708608, -22.011743897, 148.081424704, -21.98214127]","Moranbah, Queensland",0.0,1
182,"[148.127837408, -33.918414308, 148.181915872, -33.873456718]","Grenfell, New South Wales",0.0,1
183,"[148.137701408, -23.574457841, 148.19847984, -23.4733869945]","Emerald, Queensland",0.16216216216216217,1
184,"[148.174957792, -41.5939489975, 148.19934704, -41.5726305965]","St Marys, Tasmania",0.12208713272543059,2
185,"[148.18962688, -35.330313995, 148.244366496, -35.286272007]","Tumut, New South Wales",-0.1414267834793492,2
186,"[148.294286656, -36.5112208875, 148.317723712, -36.4967219935]","Thredbo Village, New South Wales",0.07350565864462633,4
187,"[148.664289312, -20.305791002, 148.76056, -20.252921036]","Airlie Beach - Cannonvale, Queensland",-0.058823529411764705,2
188,"[148.76267481475, -35.9207622144096, 149.399287194177, -35.1245172749714]","Australian Capital Territory, Australia",-0.05505785740948115,3
189,"[148.9959216, -35.480260417, 149.263643456, -35.147699163]","Canberra, Australian Capital Territory",0.02487245601363538,386
190,"[149.057293088, -33.332300009, 149.145364768, -33.217418524]","Orange, New South Wales",0.0625,1
191,"[149.101465888, -36.2595589865, 149.164444576, -36.2054361635]","Cooma, New South Wales",0.0,1
192,"[149.120086336, -21.213235538, 149.24547216, -20.995044022]","Mackay, Queensland",-0.005140955005040299,46
193,"[149.177793696, -35.4076140065, 149.258588608, -35.330124592]","Queanbeyan, New South Wales",0.01858780524952002,9
194,"[149.278261536, -36.5185604665, 149.290837248, -36.5042466835]","Nimmitabel, New South Wales",0.0,1
195,"[149.42914032, -35.274828055, 149.461886656, -35.2389609395]","Bungendore, New South Wales",0.04550096655359813,4
196,"[149.512896, -33.447321132, 149.669634016, -33.368330387]","Bathurst, New South Wales",-0.07238209157104344,12
197,"[149.734802272, -30.3661991345, 149.801369056, -30.29805962]","Narrabri, New South Wales",0.02530364372469636,2
198,"[149.779292992, -35.455442556, 149.809624992, -35.430431962]","Braidwood, New South Wales",-0.12516160310277957,7
199,"[149.784218048, -25.652339065, 149.817544512, -25.6315024225]","Taroom, Queensland",0.0,1
200,"[149.812736, -36.6954839955, 149.856992, -36.645147993]","Bega, New South Wales",0.011553700403874632,7
